tool_family,channel,channel_name,unit,progress_bin,progress_center,n,physical_mae,physical_signed_error
move,7,gripper,m_joint_target,4,0.45,5,0.006126019120216371,-0.0030164936184883125
move,7,gripper,m_joint_target,5,0.55,5,0.0045023280163295565,0.0037906802217476075
move,7,gripper,m_joint_target,7,0.75,3,0.0018574537336826325,-0.0010240466892719269
move,7,gripper,m_joint_target,9,0.95,10,0.002520646512508392,0.00037396520376205435
move,8,head_pan,rad_delta,0,0.05,10,0.0,0.0
move,8,head_pan,rad_delta,1,0.15,1,0.0,0.0
move,8,head_pan,rad_delta,2,0.25,8,0.0,0.0
move,8,head_pan,rad_delta,4,0.45,5,0.0,0.0
move,8,head_pan,rad_delta,5,0.55,5,0.0,0.0
move,8,head_pan,rad_delta,7,0.75,3,0.0,0.0
move,8,head_pan,rad_delta,9,0.95,10,0.0,0.0
move,9,head_tilt,rad_delta,0,0.05,10,0.0,0.0
move,9,head_tilt,rad_delta,1,0.15,1,0.0,0.0
move,9,head_tilt,rad_delta,2,0.25,8,0.0,0.0
move,9,head_tilt,rad_delta,4,0.45,5,0.0,0.0
move,9,head_tilt,rad_delta,5,0.55,5,0.0,0.0
move,9,head_tilt,rad_delta,7,0.75,3,0.0,0.0
move,9,head_tilt,rad_delta,9,0.95,10,0.0,0.0
move,10,torso_lift,m_delta,0,0.05,10,0.03517390878812876,0.007281312588020228
move,10,torso_lift,m_delta,1,0.15,1,0.007973007485270502,-0.007973007485270502
move,10,torso_lift,m_delta,2,0.25,8,0.025158224582992262,-0.008920853447489208
move,10,torso_lift,m_delta,4,0.45,5,0.030944194577168675,0.015286181948613378
move,10,torso_lift,m_delta,5,0.55,5,0.024880215916782623,-0.012795001026242975
move,10,torso_lift,m_delta,7,0.75,3,0.03757035352367286,0.008354655703684934
move,10,torso_lift,m_delta,9,0.95,10,0.01740642827411648,-0.005331397262052635
move,11,base_forward,m_per_s,0,0.05,10,0.3333050260785967,0.261869024625048
move,11,base_forward,m_per_s,1,0.15,1,0.19617516174912453,0.19617516174912453
move,11,base_forward,m_per_s,2,0.25,8,0.24222318088868633,0.014680032327305526
move,11,base_forward,m_per_s,4,0.45,5,0.1345350732910447,-0.01191157588036731
move,11,base_forward,m_per_s,5,0.55,5,0.0880615156609565,0.023273445619270205
move,11,base_forward,m_per_s,7,0.75,3,0.03146108596896132,-0.024293973576277494
move,11,base_forward,m_per_s,9,0.95,10,0.08298142488274607,-0.027533986337220994
move,12,base_yaw,rad_per_s,0,0.05,10,0.23081007327157024,0.11671131163119393
move,12,base_yaw,rad_per_s,1,0.15,1,0.02002465186174962,-0.02002465186174962
move,12,base_yaw,rad_per_s,2,0.25,8,0.16559626661710364,0.034938126486340634
move,12,base_yaw,rad_per_s,4,0.45,5,0.08464444931346218,-0.05701478009932901
move,12,base_yaw,rad_per_s,5,0.55,5,0.16252049464150328,0.031205061167245706
move,12,base_yaw,rad_per_s,7,0.75,3,0.1430349742842373,-0.019500867665822968
move,12,base_yaw,rad_per_s,9,0.95,10,0.11280025338081763,0.09926578726831949
reach,0,shoulder_pan,rad_delta,0,0.05,11,0.07884602491130037,0.039924042433796623
reach,0,shoulder_pan,rad_delta,2,0.25,7,0.04852380615526013,-0.0025086469549153545
reach,0,shoulder_pan,rad_delta,4,0.45,7,0.03613999358754622,0.022784397453298362
reach,0,shoulder_pan,rad_delta,5,0.55,4,0.07227328622248025,0.010904606594704089
reach,0,shoulder_pan,rad_delta,6,0.65,1,0.06356262862682344,0.06356262862682344
reach,0,shoulder_pan,rad_delta,7,0.75,6,0.0574207397022595,-0.034289738209918146
reach,0,shoulder_pan,rad_delta,9,0.95,11,0.05585234792564404,-0.04336556510322474
reach,1,shoulder_lift,rad_delta,0,0.05,11,0.06835805130275814,0.022903073579072952
